iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
68,0.012566593,7.122012740000002,343,0.2007372584015999,0.2007372584015999,0.022374973096646045,0.012577187761816044,0.020340399909574702,-3.923271640316503,-3.9560430255977614,-3.9022565871275146,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
69,0.01351405,7.135526790000003,346,0.20071904413780922,0.20071904413780922,0.022380070641647265,0.012586717023738592,0.020354956420570836,-3.923253523524191,-3.956122308793124,-3.902284560691452,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
70,0.013914944,7.1494417340000025,348,0.20071904413780922,0.20071904413780922,0.022380070641647265,0.012586717023738592,0.020354956420570836,-3.923253523524191,-3.956122308793124,-3.902284560691452,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
71,0.013514065,7.162955799000002,350,0.20071904815313474,0.20071904815313474,0.022380176549406383,0.01258683010962336,0.02035551954785697,-3.9232535227939733,-3.9561224571104696,-3.902284233788768,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
72,0.013679541,7.1766353400000025,359,0.2005610768596133,0.2005610768596133,0.022460820515401547,0.012716375689064918,0.020428862231049116,-3.9230249288911874,-3.9560993870711583,-3.902720232259977,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
73,0.013428458,7.190063798000002,361,0.20056097556578897,0.20056097556578897,0.02246046358083542,0.012716638066889052,0.020428376121882752,-3.9230249238753627,-3.9560981513687565,-3.9027210175612113,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
74,0.013930344,7.203994142000003,363,0.20056003531730374,0.20056003531730374,0.0224692211654014,0.012730999905088636,0.020435711276741597,-3.9230249425177957,-3.9560947002613593,-3.9027206282462887,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
75,0.013996989,7.2179911310000024,365,0.20056203289097027,0.20056203289097027,0.02245052524305924,0.012700656729073723,0.020419697915906587,-3.923024913321309,-3.9561020702579124,-3.902721329196978,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
76,0.035579699,7.253570830000003,367,0.20056203289097027,0.20056203289097027,0.02245052524305924,0.012700656729073723,0.020419697915906587,-3.923024913321309,-3.9561020702579124,-3.902721329196978,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
77,0.013959607,7.267530437000003,369,0.20056174169533877,0.20056174169533877,0.02245400779616269,0.012704338673725224,0.02042301983852346,-3.923024910580558,-3.9561016217152862,-3.902719351838045,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
